date,chirps_lag1d_mm,chirps_lag2d_mm,chirps_lag3d_mm,chirps_roll3d_mm,chirps_roll7d_mm,chirps_roll14d_mm,chirps_roll30d_mm,chirps_rainy_days_7d,chirps_rainy_days_30d,chirps_max3d_mm,chirps_max7d_mm,chirps_api,chirps_month_mean_mm,chirps_month_std_mm,chirps_anomaly,chirps_wet_spell_len,chirps_dry_spell_len
1984-11-12,0.0,0.0,0.0,0.0,0.0,0.0,6.26106071472168,0.0,1.0,0.0,0.0,0.9418307427031859,2.3855458470255995,6.009825206166865,-2.3855458470255995,0.0,17.0
1984-11-13,0.0,0.0,0.0,0.0,0.0,0.0,6.26106071472168,0.0,1.0,0.0,0.0,0.800556131297708,2.3855458470255995,6.009825206166865,-2.3855458470255995,0.0,18.0
1984-11-14,0.0,0.0,0.0,0.0,0.0,0.0,6.26106071472168,0.0,1.0,0.0,0.0,0.6804727116030518,2.3855458470255995,6.009825206166865,-2.3855458470255995,0.0,19.0
1984-11-15,0.0,0.0,0.0,0.0,0.0,0.0,6.26106071472168,0.0,1.0,0.0,0.0,0.578401804862594,2.3855458470255995,6.009825206166865,-2.3855458470255995,0.0,20.0
1984-11-16,0.0,0.0,0.0,0.0,0.0,0.0,6.26106071472168,0.0,1.0,0.0,0.0,0.4916415341332048,2.3855458470255995,6.009825206166865,-2.3855458470255995,0.0,21.0
1984-11-17,0.0,0.0,0.0,0.0,0.0,0.0,6.26106071472168,0.0,1.0,0.0,0.0,0.4178953040132241,2.3855458470255995,6.009825206166865,-2.3855458470255995,0.0,22.0
1984-11-18,17.53643798828125,0.0,0.0,17.53643798828125,17.53643798828125,17.53643798828125,23.79749870300293,1.0,2.0,17.53643798828125,17.53643798828125,17.891648996692492,2.3855458470255995,6.009825206166865,15.15089214125565,1.0,0.0
1984-11-19,0.0,17.53643798828125,0.0,17.53643798828125,17.53643798828125,17.53643798828125,23.79749870300293,1.0,2.0,17.53643798828125,17.53643798828125,15.207901647188617,2.3855458470255995,6.009825206166865,-2.3855458470255995,0.0,1.0
1984-11-20,0.0,0.0,17.53643798828125,17.53643798828125,17.53643798828125,17.53643798828125,23.79749870300293,1.0,2.0,17.53643798828125,17.53643798828125,12.926716400110324,2.3855458470255995,6.009825206166865,-2.3855458470255995,0.0,2.0
1984-11-21,0.0,0.0,0.0,0.0,17.53643798828125,17.53643798828125,23.79749870300293,1.0,2.0,0.0,17.53643798828125,10.987708940093775,2.3855458470255995,6.009825206166865,-2.3855458470255995,0.0,3.0
1984-11-22,0.0,0.0,0.0,0.0,17.53643798828125,17.53643798828125,23.79749870300293,1.0,2.0,0.0,17.53643798828125,9.339552599079708,2.3855458470255995,6.009825206166865,-2.3855458470255995,0.0,4.0
1984-11-23,0.0,0.0,0.0,0.0,17.53643798828125,17.53643798828125,23.79749870300293,1.0,2.0,0.0,17.53643798828125,7.938619709217751,2.3855458470255995,6.009825206166865,-2.3855458470255995,0.0,5.0
1984-11-24,0.0,0.0,0.0,0.0,17.53643798828125,17.53643798828125,23.79749870300293,1.0,2.0,0.0,17.53643798828125,6.747826752835088,2.3855458470255995,6.009825206166865,-2.3855458470255995,0.0,6.0
1984-11-25,0.0,0.0,0.0,0.0,0.0,17.53643798828125,17.53643798828125,0.0,1.0,0.0,0.0,5.735652739909825,2.3855458470255995,6.009825206166865,-2.3855458470255995,0.0,7.0
1984-11-26,0.0,0.0,0.0,0.0,0.0,17.53643798828125,17.53643798828125,0.0,1.0,0.0,0.0,4.875304828923351,2.3855458470255995,6.009825206166865,-2.3855458470255995,0.0,8.0
1984-11-27,0.0,0.0,0.0,0.0,0.0,17.53643798828125,17.53643798828125,0.0,1.0,0.0,0.0,4.144009104584848,2.3855458470255995,6.009825206166865,-2.3855458470255995,0.0,9.0
1984-11-28,0.0,0.0,0.0,0.0,0.0,17.53643798828125,17.53643798828125,0.0,1.0,0.0,0.0,3.5224077388971207,2.3855458470255995,6.009825206166865,-2.3855458470255995,0.0,10.0
1984-11-29,0.0,0.0,0.0,0.0,0.0,17.53643798828125,17.53643798828125,0.0,1.0,0.0,0.0,2.9940465780625525,2.3855458470255995,6.009825206166865,-2.3855458470255995,0.0,11.0
1984-11-30,0.0,0.0,0.0,0.0,0.0,17.53643798828125,17.53643798828125,0.0,1.0,0.0,0.0,2.5449395913531694,2.3855458470255995,6.009825206166865,-2.3855458470255995,0.0,12.0
1984-12-01,0.0,0.0,0.0,0.0,0.0,17.53643798828125,17.53643798828125,0.0,1.0,0.0,0.0,2.163198652650194,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,13.0
1984-12-02,0.0,0.0,0.0,0.0,0.0,0.0,17.53643798828125,0.0,1.0,0.0,0.0,1.8387188547526647,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,14.0
1984-12-03,0.0,0.0,0.0,0.0,0.0,0.0,17.53643798828125,0.0,1.0,0.0,0.0,1.562911026539765,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,15.0
1984-12-04,0.0,0.0,0.0,0.0,0.0,0.0,17.53643798828125,0.0,1.0,0.0,0.0,1.3284743725588002,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,16.0
1984-12-05,0.0,0.0,0.0,0.0,0.0,0.0,17.53643798828125,0.0,1.0,0.0,0.0,1.1292032166749801,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,17.0
1984-12-06,0.0,0.0,0.0,0.0,0.0,0.0,17.53643798828125,0.0,1.0,0.0,0.0,0.9598227341737331,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,18.0
1984-12-07,0.0,0.0,0.0,0.0,0.0,0.0,17.53643798828125,0.0,1.0,0.0,0.0,0.8158493240476731,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,19.0
1984-12-08,0.0,0.0,0.0,0.0,0.0,0.0,17.53643798828125,0.0,1.0,0.0,0.0,0.693471925440522,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,20.0
1984-12-09,0.0,0.0,0.0,0.0,0.0,0.0,17.53643798828125,0.0,1.0,0.0,0.0,0.5894511366244437,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,21.0
1984-12-10,0.0,0.0,0.0,0.0,0.0,0.0,17.53643798828125,0.0,1.0,0.0,0.0,0.5010334661307771,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,22.0
1984-12-11,0.0,0.0,0.0,0.0,0.0,0.0,17.53643798828125,0.0,1.0,0.0,0.0,0.42587844621116056,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,23.0
1984-12-12,0.0,0.0,0.0,0.0,0.0,0.0,17.53643798828125,0.0,1.0,0.0,0.0,0.3619966792794865,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,24.0
1984-12-13,0.0,0.0,0.0,0.0,0.0,0.0,17.53643798828125,0.0,1.0,0.0,0.0,0.3076971773875635,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,25.0
1984-12-14,0.0,0.0,0.0,0.0,0.0,0.0,17.53643798828125,0.0,1.0,0.0,0.0,0.261542600779429,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,26.0
1984-12-15,0.0,0.0,0.0,0.0,0.0,0.0,17.53643798828125,0.0,1.0,0.0,0.0,0.22231121066251464,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,27.0
1984-12-16,0.0,0.0,0.0,0.0,0.0,0.0,17.53643798828125,0.0,1.0,0.0,0.0,0.18896452906313743,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,28.0
1984-12-17,0.0,0.0,0.0,0.0,0.0,0.0,17.53643798828125,0.0,1.0,0.0,0.0,0.1606198497036668,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,29.0
1984-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13652687224811677,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,30.0
1984-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11604784141089926,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,31.0
1984-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09864066519926437,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,32.0
1984-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08384456541937471,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,33.0
1984-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0712678806064685,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,34.0
1984-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06057769851549823,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,35.0
1984-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051491043738173495,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,36.0
1984-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04376738717744747,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,37.0
1984-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03720227910083035,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,38.0
1984-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0316219372357058,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,39.0
1984-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026878646650349926,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,40.0
